Disease ID	Disease Label
OMIM:101200	Apert syndrome
OMIM:102370	Acromicric dysplasia
OMIM:102500	Hajdu-Cheney syndrome
OMIM:102700	Severe combined immunodeficiency due to ADA deficiency
OMIM:103500	Tietz albinism-deafness syndrome
OMIM:103580	Pseudohypoparathyroidism Ia
OMIM:104530	Amelogenesis imperfecta, type IA
OMIM:105120	Amyloidosis, Finnish type
OMIM:105400	Amyotrophic lateral sclerosis 1
OMIM:105650	Diamond-Blackfan anemia 1
OMIM:107480	Townes-Brocks syndrome 1
OMIM:108300	Stickler syndrome, type I
OMIM:113620	Branchiooculofacial syndrome
OMIM:115150	Cardiofaciocutaneous syndrome
OMIM:115200	Cardiomyopathy, dilated, 1A
OMIM:117360	Spinocerebellar ataxia 29, congenital nonprogressive
OMIM:118450	Alagille syndrome 1
OMIM:118600	Chondrocalcinosis 2
OMIM:119600	Cleidocranial dysplasia
OMIM:120970	Cone-rod retinal dystrophy-2
OMIM:121050	Contractural arachnodactyly, congenital
OMIM:122470	Cornelia de Lange syndrome 1
OMIM:123000	Craniometaphyseal dysplasia
OMIM:129600	Ectopia lentis, familial
OMIM:130000	Ehlers-Danlos syndrome, classic type, 1
OMIM:130010	Ehlers-Danlos syndrome, classic type, 2
OMIM:130050	Ehlers-Danlos syndrome, vascular type
OMIM:130600	Elliptocytosis-2
OMIM:131100	Multiple endocrine neoplasia 1
OMIM:131300	Camurati-Engelmann disease
OMIM:132800	Multiple self-healing squamous epithelioma, susceptibility to
OMIM:133540	Cockayne syndrome, type B
OMIM:135100	Fibrodysplasia ossificans progressiva
OMIM:137920	Renal cysts and diabetes syndrome
OMIM:139210	Myhre syndrome
OMIM:142900	Holt-Oram syndrome
OMIM:142946	Holoprosencephaly 4
OMIM:144200	Palmoplantar keratoderma, epidermolytic, 1
OMIM:146000	Hypochondroplasia
OMIM:146510	Pallister-Hall syndrome
OMIM:147791	Jacobsen syndrome
OMIM:147920	Kabuki Syndrome 1
OMIM:148050	KBG syndrome
OMIM:148600	Keratoderma, palmoplantar, punctate type IA
OMIM:148820	Waardenburg syndrome, type 3
OMIM:149400	Hyperekplexia 1
OMIM:150250	Larsen syndrome
OMIM:151100	LEOPARD syndrome 1
OMIM:151660	Lipodystrophy, familial partial, type 2
OMIM:154400	Acrofacial dysostosis 1, Nager type
OMIM:154500	Treacher Collins syndrome 1
OMIM:154700	Marfan syndrome
OMIM:156250	Metachondromatosis
OMIM:158810	Bethlem myopathy 1A
OMIM:159550	Ataxia-pancytopenia syndrome
OMIM:159950	Spinal muscular atrophy with progressive myoclonic epilepsy
OMIM:160150	Centronuclear myopathy 1
OMIM:160800	Myotonia congenita, dominant
OMIM:161200	Nail-patella syndrome
OMIM:161800	Congenital myopathy 2A, typical, autosomal dominant
OMIM:162000	Tubulointerstitial kidney disease, autosomal dominant, 1
OMIM:162001	Tubulointerstitial kidney disease, autosomal dominant, 2
OMIM:162002	Tubulointerstitial kidney disease, autosomal dominant, 3
OMIM:162200	Neurofibromatosis, type 1
OMIM:162500	Neuropathy, recurrent, with pressure palsies
OMIM:163800	Sick sinus syndrome 2
OMIM:163950	Noonan syndrome 1
OMIM:166350	Osseous heteroplasia, progressive
OMIM:167320	Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1
OMIM:171400	Multiple endocrine neoplasia IIA
OMIM:174200	Polydactyly, postaxial, types A1 and B
OMIM:174300	Orofaciodigital syndrome V
OMIM:175200	Peutz-Jeghers syndrome
OMIM:175700	Greig cephalopolysyndactyly syndrome
OMIM:176670	Hutchinson-Gilford progeria
OMIM:177170	Pseudoachondroplasia
OMIM:179800	Distal renal tubular acidosis 1
OMIM:181350	Emery-Dreifuss muscular dystrophy 2, autosomal dominant
OMIM:182290	Smith-Magenis syndrome
OMIM:184900	Stiff skin syndrome
OMIM:185020	Cryohydrocytosis
OMIM:188400	DiGeorge syndrome
OMIM:190350	Trichorhinophalangeal syndrome, type I
OMIM:191100	Tuberous sclerosis-1
OMIM:191900	Muckle-Wells syndrome
OMIM:193700	Arthrogryposis, distal, type 2A (Freeman-Sheldon)
OMIM:200150	Choreoacanthocytosis
