omim_id,path,n_chars,n_lines
101200,data/synthetic_reports/by_omim/101200.txt,163804,414
102370,data/synthetic_reports/by_omim/102370.txt,1668,6
102500,data/synthetic_reports/by_omim/102500.txt,2076,8
102700,data/synthetic_reports/by_omim/102700.txt,1640,8
103500,data/synthetic_reports/by_omim/103500.txt,1337,8
103580,data/synthetic_reports/by_omim/103580.txt,1604,6
104530,data/synthetic_reports/by_omim/104530.txt,1463,6
105120,data/synthetic_reports/by_omim/105120.txt,1445,6
105400,data/synthetic_reports/by_omim/105400.txt,1401,6
105650,data/synthetic_reports/by_omim/105650.txt,1347,6
107480,data/synthetic_reports/by_omim/107480.txt,1617,6
108300,data/synthetic_reports/by_omim/108300.txt,1357,6
113620,data/synthetic_reports/by_omim/113620.txt,1950,8
115150,data/synthetic_reports/by_omim/115150.txt,1544,6
115200,data/synthetic_reports/by_omim/115200.txt,1517,6
117360,data/synthetic_reports/by_omim/117360.txt,1108,8
118450,data/synthetic_reports/by_omim/118450.txt,1458,6
118600,data/synthetic_reports/by_omim/118600.txt,1609,8
119600,data/synthetic_reports/by_omim/119600.txt,1626,8
120970,data/synthetic_reports/by_omim/120970.txt,1374,6
121050,data/synthetic_reports/by_omim/121050.txt,1647,6
122470,data/synthetic_reports/by_omim/122470.txt,1766,6
123000,data/synthetic_reports/by_omim/123000.txt,1540,6
129600,data/synthetic_reports/by_omim/129600.txt,1328,6
130000,data/synthetic_reports/by_omim/130000.txt,1711,8
130010,data/synthetic_reports/by_omim/130010.txt,1643,8
130050,data/synthetic_reports/by_omim/130050.txt,1609,8
130600,data/synthetic_reports/by_omim/130600.txt,1512,10
131100,data/synthetic_reports/by_omim/131100.txt,1661,6
131300,data/synthetic_reports/by_omim/131300.txt,1649,6
132800,data/synthetic_reports/by_omim/132800.txt,1907,10
133540,data/synthetic_reports/by_omim/133540.txt,1613,8
135100,data/synthetic_reports/by_omim/135100.txt,1833,8
137920,data/synthetic_reports/by_omim/137920.txt,1714,6
139210,data/synthetic_reports/by_omim/139210.txt,2022,8
142900,data/synthetic_reports/by_omim/142900.txt,1562,8
142946,data/synthetic_reports/by_omim/142946.txt,1439,6
144200,data/synthetic_reports/by_omim/144200.txt,1815,8
146000,data/synthetic_reports/by_omim/146000.txt,1544,8
146510,data/synthetic_reports/by_omim/146510.txt,1469,6
147791,data/synthetic_reports/by_omim/147791.txt,2110,6
147920,data/synthetic_reports/by_omim/147920.txt,1678,6
148050,data/synthetic_reports/by_omim/148050.txt,1425,8
148600,data/synthetic_reports/by_omim/148600.txt,1548,6
148820,data/synthetic_reports/by_omim/148820.txt,1622,8
149400,data/synthetic_reports/by_omim/149400.txt,1489,6
150250,data/synthetic_reports/by_omim/150250.txt,1769,8
151100,data/synthetic_reports/by_omim/151100.txt,1584,6
151660,data/synthetic_reports/by_omim/151660.txt,1804,8
154400,data/synthetic_reports/by_omim/154400.txt,1767,8
154500,data/synthetic_reports/by_omim/154500.txt,1492,6
154700,data/synthetic_reports/by_omim/154700.txt,1659,8
156250,data/synthetic_reports/by_omim/156250.txt,1364,6
158810,data/synthetic_reports/by_omim/158810.txt,1729,8
159550,data/synthetic_reports/by_omim/159550.txt,1427,8
159950,data/synthetic_reports/by_omim/159950.txt,1844,8
160150,data/synthetic_reports/by_omim/160150.txt,1443,8
160800,data/synthetic_reports/by_omim/160800.txt,1503,8
161200,data/synthetic_reports/by_omim/161200.txt,1429,6
162000,data/synthetic_reports/by_omim/162000.txt,1724,8
162001,data/synthetic_reports/by_omim/162001.txt,1639,8
162002,data/synthetic_reports/by_omim/162002.txt,1736,8
162200,data/synthetic_reports/by_omim/162200.txt,1632,8
162500,data/synthetic_reports/by_omim/162500.txt,1892,8
163800,data/synthetic_reports/by_omim/163800.txt,1660,8
163950,data/synthetic_reports/by_omim/163950.txt,1692,8
166350,data/synthetic_reports/by_omim/166350.txt,1668,6
167320,data/synthetic_reports/by_omim/167320.txt,1905,8
171400,data/synthetic_reports/by_omim/171400.txt,1803,8
174200,data/synthetic_reports/by_omim/174200.txt,1658,8
174300,data/synthetic_reports/by_omim/174300.txt,1699,8
175200,data/synthetic_reports/by_omim/175200.txt,1842,8
175700,data/synthetic_reports/by_omim/175700.txt,1397,6
176670,data/synthetic_reports/by_omim/176670.txt,2204,8
177170,data/synthetic_reports/by_omim/177170.txt,1894,8
179800,data/synthetic_reports/by_omim/179800.txt,1708,8
181350,data/synthetic_reports/by_omim/181350.txt,2731,10
182290,data/synthetic_reports/by_omim/182290.txt,2882,10
184900,data/synthetic_reports/by_omim/184900.txt,2926,10
185020,data/synthetic_reports/by_omim/185020.txt,2551,10
188400,data/synthetic_reports/by_omim/188400.txt,2313,10
190350,data/synthetic_reports/by_omim/190350.txt,2156,10
191100,data/synthetic_reports/by_omim/191100.txt,2467,10
191900,data/synthetic_reports/by_omim/191900.txt,2423,10
193700,data/synthetic_reports/by_omim/193700.txt,2329,10
200150,data/synthetic_reports/by_omim/200150.txt,2616,10
201300,data/synthetic_reports/by_omim/201300.txt,2532,10
201910,data/synthetic_reports/by_omim/201910.txt,2245,10
203200,data/synthetic_reports/by_omim/203200.txt,2205,10
203290,data/synthetic_reports/by_omim/203290.txt,2271,10
206700,data/synthetic_reports/by_omim/206700.txt,954,4
208920,data/synthetic_reports/by_omim/208920.txt,800,4
209900,data/synthetic_reports/by_omim/209900.txt,744,4
212050,data/synthetic_reports/by_omim/212050.txt,848,4
214500,data/synthetic_reports/by_omim/214500.txt,759,4
214800,data/synthetic_reports/by_omim/214800.txt,752,4
215470,data/synthetic_reports/by_omim/215470.txt,716,4
215700,data/synthetic_reports/by_omim/215700.txt,683,4
216400,data/synthetic_reports/by_omim/216400.txt,911,4
